step,value
0.0,1.0624107122421265
1.0,1.0507843494415283
2.0,1.0405322313308716
3.0,1.0316499471664429
4.0,1.0222615003585815
5.0,1.0079184770584106
6.0,0.9954051971435547
7.0,0.9851285219192505
8.0,0.9708127379417419
9.0,0.957188606262207
10.0,0.9355472922325134
11.0,0.9116776585578918
12.0,0.8820880651473999
13.0,0.8494420051574707
14.0,0.8169139623641968
15.0,0.7701706886291504
16.0,0.7347897887229919
17.0,0.6819964647293091
18.0,0.6333788633346558
19.0,0.5958918333053589
20.0,0.5613678097724915
21.0,0.5287180542945862
22.0,0.49715456366539
23.0,0.4627542197704315
24.0,0.41076382994651794
25.0,0.37194138765335083
26.0,0.3204428553581238
27.0,0.2791481614112854
28.0,0.24979013204574585
29.0,0.20804375410079956
30.0,0.19094154238700867
31.0,0.13758642971515656
32.0,0.09042646735906601
33.0,0.05462625250220299
34.0,0.003305941354483366
35.0,-0.024667922407388687
36.0,-0.07121527194976807
37.0,-0.10497458279132843
38.0,-0.12930728495121002
39.0,-0.1698364019393921
40.0,-0.21073347330093384
41.0,-0.2275647521018982
42.0,-0.2264346182346344
43.0,-0.23337334394454956
44.0,-0.25974366068840027
45.0,-0.26739123463630676
46.0,-0.2504129111766815
47.0,-0.327970951795578
48.0,-0.3152036666870117
49.0,-0.3550454080104828
50.0,-0.32385605573654175
51.0,-0.3691549003124237
52.0,-0.3949020504951477
53.0,-0.42832815647125244
54.0,-0.4472634494304657
55.0,-0.502977728843689
56.0,-0.4289401173591614
57.0,-0.4933135211467743
58.0,-0.46463391184806824
59.0,-0.5429161190986633
60.0,-0.5230333209037781
61.0,-0.5127728581428528
62.0,-0.5518137812614441
63.0,-0.600814938545227
64.0,-0.5764793753623962
65.0,-0.6088848114013672
66.0,-0.5780589580535889
67.0,-0.6344982385635376
68.0,-0.6311450600624084
69.0,-0.6152564287185669
70.0,-0.6537802219390869
71.0,-0.7258389592170715
72.0,-0.6943231821060181
73.0,-0.68890780210495
74.0,-0.7834242582321167
75.0,-0.7373764514923096
76.0,-0.7220935821533203
77.0,-0.7010765671730042
78.0,-0.7508403062820435
79.0,-0.7896590232849121
80.0,-0.8566768169403076
81.0,-0.8809029459953308
82.0,-0.8306998014450073
83.0,-0.7743746638298035
84.0,-0.8697713017463684
85.0,-0.8025338053703308
86.0,-0.8787695169448853
87.0,-0.9005409479141235
88.0,-0.9015416502952576
89.0,-0.8801867365837097
90.0,-0.9128336906433105
91.0,-0.8324822187423706
92.0,-0.8585014939308167
93.0,-0.9931424260139465
94.0,-0.9456943869590759
95.0,-0.9314340949058533
96.0,-0.9497498869895935
97.0,-0.9413506388664246
98.0,-0.965104877948761
99.0,-0.9844015836715698
100.0,-0.8972455859184265
101.0,-1.0386210680007935
102.0,-1.0004520416259766
103.0,-0.9835980534553528
104.0,-1.0196439027786255
105.0,-0.9972744584083557
106.0,-0.9092897176742554
107.0,-1.0547198057174683
108.0,-1.0393606424331665
109.0,-1.0639883279800415
110.0,-1.0623469352722168
111.0,-0.9693925976753235
112.0,-1.0479309558868408
113.0,-1.124825119972229
114.0,-1.0149608850479126
115.0,-1.0686341524124146
116.0,-1.0227161645889282
117.0,-1.0660396814346313
118.0,-1.093199610710144
119.0,-1.0217835903167725
120.0,-1.0225592851638794
121.0,-1.0264859199523926
122.0,-1.0671346187591553
123.0,-1.0820767879486084
124.0,-1.1275007724761963
125.0,-1.1159847974777222
126.0,-1.2047184705734253
127.0,-1.0897088050842285
128.0,-1.1099380254745483
129.0,-1.1259721517562866
130.0,-1.2162132263183594
131.0,-1.229333758354187
132.0,-1.1905122995376587
133.0,-1.1324819326400757
134.0,-1.14128839969635
135.0,-1.1615651845932007
136.0,-1.240082025527954
137.0,-1.2271701097488403
138.0,-1.2325292825698853
139.0,-1.281701683998108
140.0,-1.255110502243042
141.0,-1.2227436304092407
142.0,-1.1775823831558228
143.0,-1.2614660263061523
144.0,-1.1903486251831055
145.0,-0.8288039565086365
146.0,-0.9952317476272583
147.0,-1.2337521314620972
148.0,-1.0510118007659912
149.0,-1.197411060333252
150.0,-1.1565649509429932
151.0,-1.2200415134429932
152.0,-1.2398018836975098
153.0,-1.1668568849563599
154.0,-1.302948236465454
155.0,-1.2654502391815186
156.0,-1.2207505702972412
157.0,-1.2265664339065552
158.0,-1.287476897239685
159.0,-1.274685263633728
160.0,-1.2570759057998657
161.0,-1.3480280637741089
162.0,-1.284969449043274
163.0,-1.3371821641921997
164.0,-1.344904899597168
165.0,-1.3403739929199219
166.0,-1.3844430446624756
167.0,-1.390671968460083
168.0,-1.4198051691055298
169.0,-1.36551833152771
170.0,-1.2046674489974976
171.0,-1.3181047439575195
172.0,-1.2532501220703125
173.0,-0.9347618222236633
174.0,-0.5442940592765808
175.0,-1.1209664344787598
176.0,-1.1937216520309448
177.0,-1.141645908355713
178.0,-1.2340614795684814
179.0,-1.2907992601394653
180.0,-1.2080625295639038
181.0,-1.314750075340271
182.0,-1.2915019989013672
183.0,-1.3031835556030273
184.0,-1.3284897804260254
185.0,-1.2933812141418457
186.0,-1.277585744857788
187.0,-1.3271957635879517
188.0,-1.3099861145019531
189.0,-1.3211758136749268
190.0,-1.3239169120788574
191.0,-1.3052430152893066
192.0,-1.3568806648254395
193.0,-1.344239592552185
194.0,-1.3671960830688477
195.0,-1.4125441312789917
196.0,-1.4464761018753052
197.0,-1.3795337677001953
198.0,-1.4110268354415894
199.0,-1.3835777044296265
200.0,-1.4554823637008667
201.0,-1.423570156097412
202.0,-1.3663291931152344
203.0,-1.3248801231384277
204.0,-1.2349168062210083
205.0,-1.085900068283081
206.0,-1.370400071144104
207.0,-1.362668752670288
208.0,-0.685366690158844
209.0,-0.8057881593704224
210.0,-0.824548065662384
211.0,-0.8800949454307556
212.0,-0.9001268744468689
213.0,-0.9113057255744934
214.0,-0.9315783381462097
215.0,-1.011055827140808
216.0,-1.0551209449768066
217.0,-1.0702282190322876
218.0,-1.0997344255447388
219.0,-1.134306788444519
220.0,-1.1213209629058838
221.0,-1.1331919431686401
222.0,-1.2366557121276855
223.0,-1.2187029123306274
224.0,-1.2369847297668457
225.0,-1.2383813858032227
226.0,-1.2531546354293823
227.0,-1.295880675315857
228.0,0.2119898647069931
229.0,-0.21145272254943848
230.0,-0.3911319971084595
231.0,-0.6390827894210815
232.0,-0.6626085638999939
233.0,-0.7605283856391907
234.0,-0.8358010053634644
235.0,-0.7882565855979919
236.0,-0.8006293177604675
237.0,-0.833299994468689
238.0,-0.8442137837409973
239.0,-0.8609790802001953
240.0,-0.8816353678703308
241.0,-0.8915137648582458
242.0,-0.9121155738830566
243.0,-0.9380746483802795
244.0,-0.9581932425498962
245.0,-0.9767993688583374
246.0,-0.9860294461250305
247.0,-1.026088833808899
248.0,-0.9564245939254761
249.0,-0.9800432920455933
250.0,-1.0121161937713623
251.0,-1.0287361145019531
252.0,-1.0414085388183594
253.0,-1.065934181213379
254.0,-1.039997935295105
255.0,-1.086656928062439
256.0,-1.0910323858261108
257.0,-1.0983482599258423
258.0,-1.119972825050354
259.0,-1.1258089542388916
260.0,-1.1475697755813599
261.0,-1.1399732828140259
262.0,-1.1470612287521362
263.0,-1.1800804138183594
264.0,-1.187961220741272
265.0,-1.1896275281906128
266.0,-1.205977439880371
267.0,-1.1970313787460327
268.0,-1.0901577472686768
269.0,-1.0912708044052124
270.0,-1.086260437965393
271.0,-1.145883560180664
272.0,-1.1544277667999268
273.0,-1.2195227146148682
274.0,-1.1781401634216309
275.0,-1.2203953266143799
276.0,-1.1615203619003296
277.0,-1.2083936929702759
278.0,-1.2453911304473877
279.0,-1.233480453491211
280.0,-1.2466038465499878
281.0,-1.2758488655090332
282.0,-1.2655260562896729
283.0,-1.2640115022659302
284.0,-1.287685751914978
285.0,-1.303672194480896
286.0,-1.3158986568450928
287.0,-1.3027052879333496
288.0,-1.3605482578277588
289.0,-1.3696269989013672
290.0,-1.3913897275924683
291.0,-1.4000234603881836
292.0,-1.3826994895935059
293.0,-1.3838309049606323
294.0,-1.417996883392334
295.0,-1.417525291442871
296.0,-1.44246244430542
297.0,-1.4362952709197998
298.0,-1.3685804605484009
299.0,-1.1931757926940918
